frame_index,time_min,bacteria_count,total_bacteria_area_px,mean_bacteria_area_px,tracks_active,mean_speed_um_per_min
161,161.0,9,1751,194.55555555555554,9,3.7401084791760906
162,162.0,9,1823,202.55555555555554,9,4.0491021129744045
163,163.0,9,1648,183.11111111111111,9,4.4070411943078645
164,164.0,9,1649,183.22222222222223,9,0.012911792185017599
165,165.0,10,1621,162.1,10,4.151892867758332
166,166.0,8,1630,203.75,8,3.8874446998971903
167,167.0,8,1615,201.875,8,4.596193145132717
168,168.0,9,1640,182.22222222222223,9,4.503666014248535
169,169.0,8,1638,204.75,8,3.960998703823078
170,170.0,8,1637,204.625,8,0.007003570158885125
171,171.0,8,1598,199.75,8,4.312847825809556
172,172.0,8,1620,202.5,8,4.5477630213112334
173,173.0,8,1535,191.875,8,4.315047700832059
174,174.0,8,1601,200.125,8,4.472677988801796
175,175.0,8,1574,196.75,8,3.7668683934159404
176,176.0,8,1572,196.5,8,0.01976795995514711
177,177.0,8,1602,200.25,8,5.111852181851401
178,178.0,8,1633,204.125,8,4.530316579308075
179,179.0,8,1610,201.25,8,5.423450792635117
180,180.0,8,1632,204.0,8,4.292709411156531
181,181.0,8,1607,200.875,8,5.322516993871479
182,182.0,8,1607,200.875,8,0.004312860377349392
183,183.0,7,1627,232.42857142857142,7,3.3815573738457307
184,184.0,7,1600,228.57142857142858,7,3.564665988977937
185,185.0,7,1574,224.85714285714286,7,3.7315394286716077
186,186.0,8,1659,207.375,8,3.4749284179432096
187,187.0,7,1736,248.0,7,3.9833986191895696
188,188.0,7,1736,248.0,7,0.0
189,189.0,7,1792,256.0,7,2.6423228755689823
190,190.0,8,1841,230.125,8,3.646792422746589
191,191.0,7,1863,266.14285714285717,7,3.6364583590815736
192,192.0,7,2021,288.7142857142857,7,3.9029518520232895
193,193.0,7,2130,304.2857142857143,7,4.350452076922685
194,194.0,7,2134,304.85714285714283,7,0.013028439727974616
195,195.0,8,1999,249.875,8,4.454866872463676
196,196.0,7,2000,285.7142857142857,7,4.612588948137349
197,197.0,6,2060,343.3333333333333,6,3.3456927598538933
198,198.0,7,2099,299.85714285714283,7,3.0123259790698023
199,199.0,7,1952,278.85714285714283,7,3.1142622033529723
200,200.0,7,1954,279.14285714285717,7,0.0188557596862334
201,201.0,8,1962,245.25,8,3.924529450353872
202,202.0,9,1885,209.44444444444446,9,4.539416568860198
203,203.0,8,1912,239.0,8,2.3176790185895193
204,204.0,8,1948,243.5,8,2.1639957407473682
205,205.0,8,1948,243.5,8,2.412643959416806
206,206.0,8,1919,239.875,8,2.4734315666756377
207,207.0,8,1918,239.75,8,0.014759112011796778
208,208.0,9,1881,209.0,9,2.062982973269782
209,209.0,8,1870,233.75,8,2.0743084432010894
210,210.0,9,1868,207.55555555555554,9,2.0006091314250294
211,211.0,10,1799,179.9,10,1.8177155532239935
212,212.0,10,1766,176.6,10,3.5654223305131674
213,213.0,10,1768,176.8,10,0.02855750922711332
214,214.0,10,1837,183.7,10,2.6066258295590075
215,215.0,10,1840,184.0,10,2.5919257559396045
216,216.0,10,1829,182.9,10,3.212075304808619
217,217.0,10,1818,181.8,10,3.3874090244577495
218,218.0,10,1866,186.6,10,3.472936578467368
219,219.0,10,1867,186.7,10,0.005486354678216555
220,220.0,8,1838,229.75,8,4.784270160428147
221,221.0,9,1916,212.88888888888889,9,2.776575399188847
222,222.0,9,1984,220.44444444444446,9,3.163411160410397
223,223.0,8,1995,249.375,8,4.799289532286354
224,224.0,9,2024,224.88888888888889,9,3.194659331420498
225,225.0,9,2025,225.0,9,0.0034951083901664662
226,226.0,9,1975,219.44444444444446,9,3.3928941824713825
227,227.0,8,2004,250.5,8,4.918537886516482
228,228.0,10,2006,200.6,10,4.12658155576415
229,229.0,9,2007,223.0,9,3.1091031802657687
230,230.0,9,1858,206.44444444444446,9,2.24578030933763
231,231.0,9,1855,206.11111111111111,9,0.01596812835110866
232,232.0,8,1846,230.75,8,1.6115740206376346
233,233.0,8,1912,239.0,8,1.2223993410231375
234,234.0,9,1877,208.55555555555554,9,1.965797411600088
235,235.0,9,1914,212.66666666666666,9,2.7038043993566316
236,236.0,9,1917,213.0,9,2.7804285390904004
237,237.0,9,1917,213.0,9,0.01570977766212056
238,238.0,8,1961,245.125,8,0.7326825430661638
239,239.0,8,2007,250.875,8,1.1269031626054116
