frame,time_min,object_count,mean_area_px,total_area_px,object_density_per_px2,mean_area_um2,total_area_um2,object_count_growth_per_min,total_area_growth_um2_per_min
105,105.0,9,182.55555555555554,1643,9.765625e-06,182.55555555555554,1643.0,0.0,-43.0
106,106.0,9,186.55555555555554,1679,9.765625e-06,186.55555555555554,1679.0,0.0,36.0
107,107.0,9,188.55555555555554,1697,9.765625e-06,188.55555555555554,1697.0,0.0,18.0
108,108.0,8,210.625,1685,8.680555555555556e-06,210.625,1685.0,-1.0,-12.0
109,109.0,8,212.125,1697,8.680555555555556e-06,212.125,1697.0,0.0,12.0
110,110.0,8,211.875,1695,8.680555555555556e-06,211.875,1695.0,0.0,-2.0
111,111.0,9,192.55555555555554,1733,9.765625e-06,192.55555555555554,1733.0,1.0,38.0
112,112.0,9,195.66666666666666,1761,9.765625e-06,195.66666666666666,1761.0,0.0,28.0
113,113.0,9,196.0,1764,9.765625e-06,196.0,1764.0,0.0,3.0
114,114.0,9,191.33333333333334,1722,9.765625e-06,191.33333333333334,1722.0,0.0,-42.0
115,115.0,9,187.55555555555554,1688,9.765625e-06,187.55555555555554,1688.0,0.0,-34.0
116,116.0,9,187.66666666666666,1689,9.765625e-06,187.66666666666666,1689.0,0.0,1.0
117,117.0,9,193.66666666666666,1743,9.765625e-06,193.66666666666666,1743.0,0.0,54.0
118,118.0,9,192.22222222222223,1730,9.765625e-06,192.22222222222223,1730.0,0.0,-13.0
119,119.0,9,209.22222222222223,1883,9.765625e-06,209.22222222222223,1883.0,0.0,153.0
120,120.0,10,184.9,1849,1.0850694444444445e-05,184.9,1849.0,1.0,-34.0
121,121.0,9,204.44444444444446,1840,9.765625e-06,204.44444444444446,1840.0,-1.0,-9.0
122,122.0,9,204.44444444444446,1840,9.765625e-06,204.44444444444446,1840.0,0.0,0.0
123,123.0,9,207.22222222222223,1865,9.765625e-06,207.22222222222223,1865.0,0.0,25.0
124,124.0,9,195.88888888888889,1763,9.765625e-06,195.88888888888889,1763.0,0.0,-102.0
125,125.0,9,193.0,1737,9.765625e-06,193.0,1737.0,0.0,-26.0
126,126.0,9,190.44444444444446,1714,9.765625e-06,190.44444444444446,1714.0,0.0,-23.0
127,127.0,9,194.44444444444446,1750,9.765625e-06,194.44444444444446,1750.0,0.0,36.0
128,128.0,9,194.33333333333334,1749,9.765625e-06,194.33333333333334,1749.0,0.0,-1.0
129,129.0,9,185.11111111111111,1666,9.765625e-06,185.11111111111111,1666.0,0.0,-83.0
130,130.0,9,187.11111111111111,1684,9.765625e-06,187.11111111111111,1684.0,0.0,18.0
131,131.0,9,198.11111111111111,1783,9.765625e-06,198.11111111111111,1783.0,0.0,99.0
132,132.0,9,195.77777777777777,1762,9.765625e-06,195.77777777777777,1762.0,0.0,-21.0
