frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,raw_junction_pixel_count,normalized_branch_point_count,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
31,31.0,3614,3614.0,172.71067811865478,172.71067811865478,0,0,0,10,5,0,0,9.656854249492426,256.0,0.0
32,32.0,3614,3614.0,172.71067811865478,172.71067811865478,0,0,0,10,5,0,0,0.0,0.0,0.0
33,33.0,3239,3239.0,138.8111831820431,138.8111831820431,0,0,0,14,7,0,0,-33.89949493661169,-375.0,0.0
34,34.0,3113,3113.0,120.49747468305834,120.49747468305834,0,0,0,12,6,0,0,-18.313708498984752,-126.0,0.0
35,35.0,3161,3161.0,122.91168824543144,122.91168824543144,0,0,0,12,6,0,0,2.4142135623730923,48.0,0.0
36,36.0,3146,3146.0,122.08326112068524,122.08326112068524,0,0,0,12,6,0,0,-0.8284271247461987,-15.0,0.0
37,37.0,3131,3131.0,120.49747468305833,120.49747468305833,0,0,0,12,6,0,0,-1.5857864376269077,-15.0,0.0
38,38.0,3095,3095.0,118.49747468305833,118.49747468305833,0,0,0,12,6,0,0,-2.0,-36.0,0.0
39,39.0,3139,3139.0,121.32590180780453,121.32590180780453,0,0,0,12,6,0,0,2.8284271247461987,44.0,0.0
40,40.0,3260,3260.0,141.74011537017762,141.74011537017762,0,0,0,10,5,0,0,20.414213562373092,121.0,0.0
41,41.0,2850,2850.0,116.32590180780453,116.32590180780453,0,0,0,10,5,0,0,-25.414213562373092,-410.0,0.0
42,42.0,2843,2843.0,115.49747468305834,115.49747468305834,0,0,0,10,5,0,0,-0.8284271247461845,-7.0,0.0
43,43.0,2907,2907.0,120.32590180780453,120.32590180780453,0,0,0,10,5,0,0,4.8284271247461845,64.0,0.0
44,44.0,2908,2908.0,120.32590180780453,120.32590180780453,0,0,0,10,5,0,0,0.0,1.0,0.0
45,45.0,3352,3352.0,155.6396103067893,155.6396103067893,0,0,0,12,6,0,0,35.31370849898478,444.0,0.0
46,46.0,3655,3655.0,177.71067811865478,177.71067811865478,0,0,0,10,5,0,0,22.071067811865476,303.0,0.0
47,47.0,3498,3498.0,156.74011537017762,156.74011537017762,0,0,0,10,5,0,0,-20.970562748477164,-157.0,0.0
48,48.0,3393,3393.0,139.0538238691624,139.0538238691624,0,0,0,12,6,0,0,-17.686291501015234,-105.0,0.0
49,49.0,3224,3224.0,128.9827560572969,128.9827560572969,0,0,0,11,6,0,0,-10.071067811865476,-169.0,0.0
